,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(2, 1, 1, 0, 0, 0)",215039,257510,251624,245858,240215,234696,229304,224038,218899,213885,208995,204228,199581,195052
"Z(2, 1, 1, 0, 0, 1)",215039,257510,253647,249691,245685,241654,237622,233607,229626,225691,221811,217993,214243,210566
"Z(2, 1, 1, 0, 0, 2)",215039,257510,265913,273357,279917,285655,290631,294902,298522,301542,304009,305970,307467,308541
"Z(2, 1, 1, 0, 1, 0)",215039,257510,255902,254182,252366,250465,248489,246450,244355,242211,240027,237807,235558,233284
"Z(2, 1, 1, 0, 1, 1)",215039,257510,258163,258570,258757,258749,258568,258232,257759,257163,256457,255653,254761,253789
"Z(2, 1, 1, 0, 1, 2)",215039,257510,271138,283928,295917,307141,317636,327436,336573,345078,352981,360310,367091,373351
"Z(2, 1, 1, 0, 2, 0)",215039,257510,255089,252650,250201,247746,245293,242845,240406,237979,235567,233172,230795,228437
"Z(2, 1, 1, 0, 2, 1)",215039,257510,257358,256959,256346,255549,254593,253500,252288,250975,249575,248099,246559,244965
"Z(2, 1, 1, 0, 2, 2)",215039,257510,264213,270168,275449,280113,284215,287804,290922,293609,295899,297824,299413,300691
"Z(2, 1, 1, 0, 3, 0)",215039,257510,258309,258975,259523,259963,260306,260562,260738,260843,260883,260863,260789,260665
"Z(2, 1, 1, 0, 3, 1)",215039,257510,257647,257429,256919,256159,255187,254039,252741,251319,249793,248181,246496,244755
"Z(2, 1, 1, 0, 3, 2)",215039,257510,264943,271546,277398,282565,287108,291083,294538,297518,300063,302208,303987,305431
"Z(2, 1, 1, 1, 0, 0)",215039,257510,252487,247534,242656,237858,233143,228514,223973,219519,215154,210878,206689,202588
"Z(2, 1, 1, 1, 0, 1)",215039,257510,253641,249680,245671,241638,237606,233592,229613,225682,221806,217993,214249,210579
"Z(2, 1, 1, 1, 0, 2)",215039,257510,278231,296986,313923,329169,342843,355055,365915,375523,383976,391364,397774,403285
"Z(2, 1, 1, 1, 1, 0)",215039,257510,256823,256000,255054,253997,252840,251593,250264,248862,247394,245866,244284,242652
"Z(2, 1, 1, 1, 1, 1)",215039,257510,258156,258557,258740,258730,258549,258214,257743,257151,256451,255654,254770,253808
"Z(2, 1, 1, 1, 1, 2)",215039,257510,283691,308351,331562,353391,373903,393160,411223,428147,443989,458798,472626,485520
"Z(2, 1, 1, 1, 2, 0)",215039,257510,256005,254452,252859,251233,249581,247907,246215,244510,242795,241072,239344,237612
"Z(2, 1, 1, 1, 2, 1)",215039,257510,257351,256945,256329,255530,254573,253481,252272,250963,249568,248099,246566,244980
"Z(2, 1, 1, 1, 2, 2)",215039,257510,273536,288173,301532,313711,324799,334878,344023,352301,359775,366501,372532,377917
"Z(2, 1, 1, 1, 3, 0)",215039,257510,259394,261131,262734,264213,265579,266842,268009,269088,270085,271005,271854,272637
"Z(2, 1, 1, 1, 3, 1)",215039,257510,257639,257415,256903,256142,255172,254027,252735,251320,249804,248202,246531,244803
"Z(2, 1, 1, 1, 3, 2)",215039,257510,274480,289938,304007,316793,328398,338911,348416,356989,364698,371607,377776,383259
"Z(2, 2, 0, 1, 0, 0)",215039,257510,249333,241513,234025,226846,219956,213339,206978,200857,194963,189284,183809,178527
"Z(2, 2, 0, 1, 0, 1)",215039,257510,248119,239284,230948,223068,215603,208519,201784,195371,189255,183414,177828,172481
"Z(2, 2, 0, 1, 0, 2)",215039,257510,256562,255563,254515,253420,252281,251100,249880,248623,247330,246004,244647,243261
