,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 1, 0, 1, 1, 2)",3303,3205,3112,3024,2941,2862,2787,2715,2647,2582,2519,2460,2402,2346
"Z(1, 1, 0, 1, 2, 0)",13625,13267,12927,12604,12298,12005,11726,11460,11205,10960,10726,10499,10280,10069
"Z(1, 1, 0, 1, 2, 1)",18840,19388,19905,20393,20855,21287,21694,21972,22201,22413,22612,22794,22960,23113
"Z(1, 1, 0, 1, 2, 2)",8675,8434,8206,7989,7784,7588,7402,7224,7055,6892,6736,6586,6441,6302
"Z(1, 1, 0, 1, 3, 0)",18495,18899,19284,19654,20011,20350,20676,20989,21289,21576,21852,22113,22362,22599
"Z(1, 1, 0, 1, 3, 1)",19890,20671,21446,22214,22978,23731,24477,25214,25943,26662,27373,28071,28758,29435
"Z(1, 1, 0, 1, 3, 2)",18666,19119,19556,19976,20382,20768,21140,21495,21834,22155,22462,22752,23024,23281
"Z(1, 1, 1, 0, 0, 0)",5856,5741,5632,5530,5435,5345,5261,5181,5106,5035,4967,4903,4842,4783
"Z(1, 1, 1, 0, 0, 1)",6155,5992,5838,5692,5555,5423,5299,5180,5067,4959,4856,4756,4661,4569
"Z(1, 1, 1, 0, 0, 2)",1476,1426,1379,1334,1292,1252,1214,1178,1143,1111,1080,1050,1021,994
"Z(1, 1, 1, 0, 1, 0)",14997,14670,14361,14069,13794,13531,13283,13048,12823,12608,12404,12208,12018,11837
"Z(1, 1, 1, 0, 1, 1)",17198,17250,17301,17353,17405,17454,17378,17155,16941,16724,16426,16138,15859,15589
"Z(1, 1, 1, 0, 1, 2)",7059,6862,6675,6497,6329,6169,6016,5870,5731,5598,5470,5347,5228,5113
"Z(1, 1, 1, 0, 2, 0)",18277,18586,18863,19115,19345,19551,19741,19913,20069,20210,20128,19915,19705,19436
"Z(1, 1, 1, 0, 2, 1)",18769,19320,19841,20333,20800,21237,21650,22039,22406,22749,23006,23191,23361,23518
"Z(1, 1, 1, 0, 2, 2)",17167,17235,17303,17371,17439,17449,17205,16972,16748,16462,16144,15836,15537,15249
"Z(1, 1, 1, 0, 3, 0)",19207,19836,20450,21051,21642,22217,22783,23338,23882,24415,24939,25451,25951,26441
"Z(1, 1, 1, 0, 3, 1)",19826,20611,21391,22165,22936,23696,24451,25198,25937,26667,27390,28102,28802,29494
"Z(1, 1, 1, 0, 3, 2)",19535,20235,20929,21618,22304,22979,23649,24311,24967,25613,26254,26883,27502,28113
"Z(1, 1, 1, 1, 0, 0)",7968,7769,7581,7403,7235,7075,6924,6780,6643,6512,6387,6267,6152,6041
"Z(1, 1, 1, 1, 0, 1)",6470,6296,6131,5974,5826,5685,5550,5422,5300,5183,5070,4962,4858,4758
"Z(1, 1, 1, 1, 0, 2)",4661,4531,4408,4292,4182,4077,3978,3883,3792,3705,3622,3542,3465,3391
