,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 1, 0, 1, 0, 0)",4323,4143,3977,3822,3677,3541,3414,3294,3181,3075,2974,2878,2786,2698
"Z(1, 1, 0, 1, 0, 1)",15109,14550,14033,13551,13099,12678,12281,11908,11556,11226,10910,10608,10321,10045
"Z(1, 1, 0, 1, 0, 2)",3538,3402,3277,3161,3052,2951,2855,2765,2681,2601,2526,2454,2385,2319
"Z(1, 1, 0, 1, 1, 0)",16425,16099,15593,15075,14588,14134,13705,13301,12920,12561,12218,11889,11575,11274
"Z(1, 1, 0, 1, 1, 1)",19900,20089,20279,20467,20651,20837,21019,21200,21378,21237,20927,20630,20328,19871
"Z(1, 1, 0, 1, 1, 2)",11134,10779,10450,10144,9857,9589,9336,9098,8874,8663,8462,8269,8084,7907
"Z(1, 1, 0, 1, 2, 0)",17953,17807,17553,17161,16793,16453,16121,15720,15342,14985,14644,14316,14003,13702
"Z(1, 1, 0, 1, 2, 1)",21141,21981,22758,23474,24128,24735,25293,25726,26035,26324,26584,26819,27032,27224
"Z(1, 1, 0, 1, 2, 2)",18999,19495,19948,20356,20719,20450,20179,19740,19288,18865,18459,18071,17700,17345
"Z(1, 1, 0, 1, 3, 0)",19488,19679,19870,20057,20237,20418,20593,20767,20938,21111,21277,21438,21593,21744
"Z(1, 1, 0, 1, 3, 1)",23624,25061,26470,27846,29182,30489,31758,32998,34208,35396,36549,37671,38763,39827
"Z(1, 1, 0, 1, 3, 2)",22833,24256,25569,26784,27911,28969,29960,30895,31779,32624,33420,34174,34890,35569
"Z(1, 1, 1, 0, 0, 0)",7552,7297,7063,6845,6641,6452,6274,6107,5951,5804,5665,5532,5406,5285
"Z(1, 1, 1, 0, 0, 1)",19158,19919,20650,21333,21960,21977,21584,21222,20887,20582,20294,20025,19772,19535
"Z(1, 1, 1, 0, 0, 2)",9647,9352,9080,8827,8590,8371,8164,7970,7787,7617,7454,7298,7150,7008
